,Words,Frequency
0,food,27
1,love,6
2,life,4
3,Kolkata,2
4,foodporn,23
5,foodloverskolkata,9
6,foodgasms,10
7,foodphotography,25
8,instafood,17
9,foodlicious,11
10,indianblogger,13
11,kolkatablogger,7
12,allaboutfood,7
13,foodie,17
14,indianfood,4
15,indianfoodbloggers,9
16,kolkatafoodguide,10
17,foodstagram,11
18,foodblogger,11
19,footfetishnation,2
20,healthyfood,6
21,buzztasy,10
22,delhiblogger,11
23,foodblogfeed,8
24,foodinstagram,5
25,foodinspiration,5
26,kolkatadiaries,9
27,momo,2
28,dimsum,1
29,eeeeeats,4
30,indianfoodie,7
31,foodtalkindia,2
32,lbbkolkata,2
33,foodintheair,5
34,momos,2
35,kolkatagram,5
36,eggslut,1
37,chinesefood,8
38,kolkatasutra,4
39,cityofjoy,1
40,streetfood,2
41,indianstreetfood,5
42,foodiesofinstagram,2
43,bangaloreblogger,1
44,bangalorediaries,1
45,bangalorefoodies,1
46,bangalore,1
47,lbbbangalore,1
48,chinese,1
49,delish,1
50,foodies,6
51,foodlover,8
52,sokolkata,9
53,thekolkatabuzz,1
54,shisha,1
55,hookah,1
56,smoke,1
57,instashisha,1
58,delhifood,1
59,indianhookah,1
60,campus,1
61,photography,3
62,streetphotography,1
63,hustle,1
64,foods,1
65,foodgasm,3
66,foodfreaks_jpr,9
67,igers,5
68,igersrajasthan,5
69,instagood,8
70,instalife,2
71,instagram,8
72,lollypops,1
73,strawberry,1
74,chocolate,3
75,aampanna,1
76,yummy,3
77,thegreatindianfoodie,9
78,mumbaistreetfood,9
79,gannaseekh,1
80,jaipur,3
81,jaipurfood,1
82,masalaministry,1
83,tasty,3
84,jaipurcafes,1
85,freaks,3
86,jaipurlife,1
87,ravioli,1
88,italian,1
89,f52grams,1
90,rajasthan,1
91,iphonepic,3
92,loveit,3
93,amazing,1
94,goodcompany,1
95,meatballs,1
96,noodles,1
97,amritsarhouse,1
98,f52gram,1
99,goodfood,2
100,foodiliciousmumbai,1
101,foodoholic,1
102,food52,1
103,jaipurcafe,1
104,chicken,3
105,parmesancheese,1
106,delicious,1
107,desifood,6
108,delhifoodblogger,12
109,desikhana,5
110,fblog,5
